,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
3382,14,Taurus Street,Clive,Fox,43,Husband,Married,Male,Unemployed,None,Catholic
3383,14,Taurus Street,Shaun,Fox,6,Son,NA,Male,Student,None,NA
3384,14,Taurus Street,Harry,Fox,2,Son,NA,Male,Child,None,NA
3385,15,Taurus Street,Christian,Lewis,61,Head,Single,Male,Patent attorney,None,Christian
3386,15,Taurus Street,Joanna,Lewis,20,Daughter,Widowed,Female,University Student,None,Christian
3387,16,Taurus Street,Lee,Collins,85,Head,Widowed,Male,Retired Risk analyst,None,Christian
3388,17,Taurus Street,Sophie,Smith,69,Head,Divorced,Female,Retired Technical sales engineer,None,None
3389,18,Taurus Street,Laura,Hartley,40,Head,Widowed,Female,Unemployed,None,None
3390,18,Taurus Street,Glen,Hartley,12,Son,NA,Male,Student,None,NA
3391,1,Dawson Shores,Joanne,Lee,37,Head,Widowed,Female,Unemployed,None,Christian
3392,1,Dawson Shores,Alex,Lee,14,Son,NA,Male,Student,None,NA
3393,1,Dawson Shores,Owen,Lee,12,Son,NA,Male,Student,None,NA
3394,2,Dawson Shores,Wayne,Benson,84,Head,Widowed,Male,Retired Public relations officer,None,Christian
3395,3,Dawson Shores,Josh,Storey,66,Head,Married,Male,Barrister's clerk,None,Christian
3396,3,Dawson Shores,Tina,Storey,61,Wife,Married,Female,Patent attorney,None,Christian
3397,4,Dawson Shores,Georgina,Lewis,46,Head,Single,Female,Unemployed,None,Catholic
3398,4,Dawson Shores,Katherine,Smith,14,Daughter,NA,Female,Student,None,NA
3399,5,Dawson Shores,Sheila,Phillips,32,Head,Divorced,Female,Purchasing manager,None,Catholic
3400,6,Dawson Shores,Susan,Dunn,38,Head,Single,Female,Unemployed,None,None
3401,6,Dawson Shores,Danny,Dunn,3,Son,NA,Male,Child,None,NA
3402,6,Dawson Shores,Ann,Dunn,3,Daughter,NA,Female,Child,None,NA
3403,6,Dawson Shores,Alice,Evans,31,Lodger,Single,Female,Unemployed,None,Catholic
3404,7,Dawson Shores,Rosemary,Shah,47,Head,Divorced,Female,Unemployed,None,Catholic
3405,7,Dawson Shores,Pauline,Shah,12,Daughter,NA,Female,Student,None,NA
3406,8,Dawson Shores,Kayleigh,Wheeler,34,Head,Divorced,Female,Conference centre manager,None,None
3407,9,Dawson Shores,Jay,Harvey,66,Head,Single,M,Horticultural consultant,None,None
3408,10,Dawson Shores,June,Evans,45,Head,Married,Female,"Editor, magazine features",None,Catholic
3409,10,Dawson Shores,Glen,Miller,NA,Husband,Married,Male,Quantity surveyor,None,None
3410,10,Dawson Shores,Martin,Evans,17,Son,NA,Male,Student,None,NA
3411,11,NA,Jade,Whitehead,65,Head,Married,Female,Information officer,None,Christian
3412,11,Dawson Shores,Daniel,Whitehead,63,Husband,Married,Male,Unemployed,None,Christian
3413,11,Dawson Shores,Dennis,Whitehead,42,Son,Divorced,Male,Recycling officer,None,Christian
3414,12,Dawson Shores,Iain,Wilson,23,Head,Single,Male,Artist,None,None
3415,12,Dawson Shores,Jean,Smith,24,Partner,NA,Female,Insurance risk surveyor,None,None
3416,13,Dawson Shores,Denis,Baker,18,Head,Single,Male,Student,None,NA
3417,13,Dawson Shores,Kathryn,Hopkins,19,Partner,Single,Female,University Student,None,None
3418,14,Dawson Shores,Mark,Wyatt,66,Head,Widowed,Male,"Engineer, broadcasting (operations)",None,Christian
3419,15,Dawson Shores,Lisa,Young,48,Head,Married,Female,"Presenter, broadcasting",None,None
3420,15,Dawson Shores,Joel,Young,48,Husband,Married,Male,Television production assistant,None,None
3421,15,Dawson Shores,Charles,Young,17,Son,NA,Male,Student,None,NA
3422,16,Dawson Shores,Kim,Kemp,44,Head,Single,Female,Armed forces training and education officer,None,Christian
3423,17,Dawson Shores,Graeme,Turner,25,Head,Single,Male,Museum/gallery conservator,None,Methodist
3424,18,Dawson Shores,Sandra,Ellis,57,Head,Married,Female,Animal technologist,None,Christian
3425,18,Dawson Shores,Louis,Ellis,63,Husband,Married,Male,Building surveyor,None,None
3426,19,Dawson Shores,Samuel,Ellis,53,Head,Married,Male,Insurance risk surveyor,None,Methodist
3427,19,Dawson Shores,Jane,Ellis,50,Wife,Married,Female,"Therapist, horticultural",None,Methodist
3428,20,Dawson Shores,Liam,Cook,26,Head,Single,Male,"Engineer, communications",None,Catholic
3429,20,Dawson Shores,Donna,Moore,25,Partner,Single,Female,Sales promotion account executive,None,Catholic
3430,21,Dawson Shores,Samantha,Jarvis,31,Head,Single,NA,Exercise physiologist,None,None
3431,22,Dawson Shores,Oliver,Faulkner,46,Head,Single,Male,Product manager,None,None
3432,23,Dawson Shores,Charlene,Bennett,51,Head,Married,Female,"Journalist, newspaper",None,Christian
3433,23,Dawson Shores,Conor,Bennett,50,Husband,Married,Male,Public librarian,None,None
3434,23,Dawson Shores,Jill,Bennett,16,Daughter,NA,Female,Student,None,NA
3435,24,Dawson Shores,Alison,Booth,19,Head,Single,Female,University Student,None,Catholic
3436,24,Dawson Shores,Amber,Scott,33,None,Single,F,"Psychologist, prison and probation services",None,None
3437,25,Dawson Shores,Barbara,Walton,45,Head,Divorced,Female,"Designer, blown glass/stained glass",None,Methodist
3438,26,Dawson Shores,Bruce,Price,35,Head,Single,Male,Public house manager,None,Catholic
3439,27,Dawson Shores,Annette,Davies,61,Head,Divorced,Female,Purchasing manager,None,None
3440,28,Dawson Shores,Hollie,Francis,62,Head,Divorced,Female,Psychotherapist,None,Christian
3441,29,Dawson Shores,Diane,Edwards,78,Head,Widowed,Female,"Retired Buyer, industrial",None,None
3442,30,Dawson Shores,Lynn,Willis,46,Head,Single,Female,"Nurse, adult",None,None
3443,31,Dawson Shores,Deborah,Bowen,82,Head,Widowed,Female,"Retired Editor, magazine features",None,None
3444,32,Dawson Shores,Ruth,Khan,70,Head,Single,Female,Retired Physiotherapist,None,Catholic
3445,33,Dawson Shores,Scott,Davies,33,Head,Divorced,Male,Special educational needs teacher,None,Methodist
3446,34,Dawson Shores,Gary,Pickering,33,Head,Divorced,Male,Unemployed,None,None
3447,34,Dawson Shores,Kate,Pickering,5,Daughter,NA,Female,Student,None,NA
3448,34,Dawson Shores,Lynda,Pickering,2,Daughter,NA,Female,Child,None,NA
3449,35,Dawson Shores,Gillian,Clarke,31,Head,Single,Female,Armed forces training and education officer,None,Sikh
3450,36,Dawson Shores,Leslie,Collins,50,Head,Widowed,Male,"Teacher, English as a foreign language",None,None
3451,37,Dawson Shores,Alexandra,Stanley,66,Head,Widowed,Female,"Nurse, children's",None,Christian
3452,38,Dawson Shores,Amanda,McDonald,31,Head,Divorced,Female,Investment analyst,None,Muslim
3453,38,Dawson Shores,Kayleigh,McDonald,1,Daughter,NA,Female,Child,None,NA
3454,39,Dawson Shores,Chloe,Williams,40,Head,Single,Female,Environmental education officer,None,None
3455,40,Dawson Shores,Maurice,Kay,83,Head,Single,Male,"Retired Engineer, maintenance",None,Muslim
3456,41,Dawson Shores,Daniel,Jones,21,Head,Single,Male,University Student,None,None
3457,42,Dawson Shores,Patricia,Davies,66,Head,Married,Female,Medical illustrator,None,Christian
3458,42,Dawson Shores,Dale,Davies,61,Husband,Married,Male,Water quality scientist,None,None
3459,43,Dawson Shores,Henry,Holt,65,Head,Married,Male,"Designer, blown glass/stained glass",None,Christian
3460,43,Dawson Shores,Hannah,Holt,67,Wife,Married,Female,Biomedical scientist,NA,Christian
3461,43,Dawson Shores,Clive,Holt,44,Son,Single,Male,Print production planner,None,Christian
3462,44,Dawson Shores,Molly,Bowen,55,Head,Single,Female,Agricultural engineer,None,None
3463,45,Dawson Shores,Clifford,Griffiths,43,Head,Divorced,Male,Chartered management accountant,None,Catholic
3464,46,Dawson Shores,Lorraine,Parkinson,68,Head,Widowed,F,Retired Land/geomatics surveyor,None,None
3465,47,Dawson Shores,Sara,Carter,68,Head,Widowed,Female,"Retired Administrator, charities/voluntary organisations",None,Catholic
3466,48,Dawson Shores,Howard,Taylor,55,Head,Single,Male,Tax adviser,None,Methodist
3467,49,Dawson Shores,Gillian,Akhtar,62,Head,Single,Female,Tax adviser,None,Christian
3468,49,Dawson Shores,Mark,Kelly,60,Partner,Single,Male,Claims inspector/assessor,None,Christian
3469,50,Dawson Shores,Rhys,Davies,61,Head,Single,Male,Structural engineer,None,Catholic
3470,50,Dawson Shores,Patricia,Howard,30,None,Single,Female,Community arts worker,None,None
3471,51,Dawson Shores,Jean,Elliott,79,Head,Widowed,Female,Unemployed,None,Christian
3472,51,Dawson Shores,Dorothy,Elliott,47,Daughter,Single,Female,Education administrator,None,Christian
3473,52,Dawson Shores,Kathleen,Murray,19,Head,Single,Female,University Student,NA,None
3474,53,Dawson Shores,Graham,Roberts,64,Head,Married,Male,"Engineer, structural",None,Christian
3475,53,Dawson Shores,Fiona,Roberts,56,Wife,Married,Female,Civil Service administrator,None,None
3476,54,Dawson Shores,Thomas,Webb,42,Head,Married,Male,"Horticulturist, commercial",None,None
3477,54,Dawson Shores,Annette,Webb,37,Wife,Married,Female,Arboriculturist,None,None
3478,55,Dawson Shores,Sheila,Connolly,87,Head,Widowed,Female,"Retired Production designer, theatre/television/film",None,None
3479,56,Dawson Shores,Brandon,Smith,48,Head,Single,Male,Accommodation manager,None,None
3480,57,Dawson Shores,Glen,Walsh,83,Head,Widowed,Male,Retired IT technical support officer,None,Christian
3481,58,Dawson Shores,Tracey,Anderson,28,Head,Single,Female,Insurance account manager,None,Christian
3482,59,Dawson Shores,Terry,Briggs,28,Head,Single,Male,Unemployed,None,Catholic
3483,60,Dawson Shores,Joan,Leonard,66,Head,Widowed,Female,Manufacturing systems engineer,None,Christian
3484,61,Dawson Shores,Sarah,Cook,25,Head,Single,Female,"Production assistant, radio",None,Catholic
3485,62,Dawson Shores,Lynda,Davey,83,Head,Divorced,Female,Retired Camera operator,None,Christian
3486,63,Dawson Shores,Angela,Thomas,80,Head,Married,Female,Retired Manufacturing systems engineer,None,Christian
3487,63,Dawson Shores,Frank,Thomas,81,Husband,Married,Male,Retired Wellsite geologist,None,None
3488,64,Dawson Shores,Stanley,Gibbs,18,Head,Single,Male,Student,None,NA
3489,65,Dawson Shores,Carole,Martin,56,Head,Divorced,Female,Theatre manager,None,Christian
3490,66,Dawson Shores,Sylvia,Ahmed,35,NA,Single,Female,Veterinary surgeon,None,None
3491,66,Dawson Shores,Christian,Harper,38,Partner,Single,Male,Television camera operator,None,None
3492,66,Dawson Shores,Leon,Ahmed,10,Son,NA,Male,Student,None,NA
3493,67,Dawson Shores,Max,Spencer,74,Head,Single,Male,Retired Historic buildings inspector/conservation officer,None,Christian
3494,68,Dawson Shores,Jason,Sutton,69,Head,Married,Male,Retired Adult nurse,None,Christian
3495,68,Dawson Shores,Aimee,Sutton,67,Wife,Married,Female,Camera operator,None,Christian
3496,69,Dawson Shores,John,Armstrong,69,Head,Widowed,Male,"Retired Chemist, analytical",None,Christian
3497,70,Dawson Shores,Glen,Williamson,24,Head,Married,Male,Freight forwarder,None,Methodist
3498,70,Dawson Shores,Kerry,Williamson,24,Wife,Married,Female,Adult nurse,None,None
3499,71,Dawson Shores,Jessica,Marsden,59,Head,Single,Female,"Surveyor, rural practice",None,None
3500,72,Dawson Shores,Jennifer,McDonald,40,Head,Divorced,Female,Unemployed,None,None
3501,NA,Dawson Shores,Sharon,McDonald,NA,Daughter,NA,Female,Child,None,NA
3502,73,Dawson Shores,Melissa,Page,68,Head,Widowed,Female,Retired Furniture conservator/restorer,None,Christian
3503,74,Dawson Shores,Joel,Wallis,52,Head,Married,Male,"Engineer, communications",None,Christian
3504,74,Dawson Shores,Valerie,Wallis,49,Wife,Married,Female,"Scientist, marine",None,Christian
3505,75,Dawson Shores,Damian,Jenkins,85,Head,Married,Male,Retired Engineering geologist,None,Christian
3506,75,Dawson Shores,Megan,Jenkins,83,Wife,Married,Female,Retired Site engineer,None,None
3507,76,Dawson Shores,Mary,Mason,36,Head,Married,Female,Occupational psychologist,None,Catholic
3508,76,Dawson Shores,Julian,Mason,38,Husband,Married,Male,Podiatrist,None,Catholic
3509,77,Dawson Shores,Patrick,Jones,71,Head,Married,Male,Retired Airline pilot,None,Catholic
3510,77,Dawson Shores,Amanda,Jones,70,Wife,Married,Female,Retired Archivist,None,None
3511,78,Dawson Shores,Garry,Burton,26,Head,Married,Male,Chartered accountant,None,None
3512,78,Dawson Shores,Stacey,Burton,22,Wife,Married,Female,University Student,None,None
3513,79,Dawson Shores,Gerard,Heath,87,Head,Single,Male,"Retired Psychologist, occupational",None,Christian
3514,80,Dawson Shores,Naomi,Jones,37,Head,Married,Female,Hydrologist,None,Christian
3515,80,Dawson Shores,Garry,Jones,44,Husband,Married,Male,Quarry manager,None,Christian
3516,80,Dawson Shores,David,Jones,0,Son,NA,Male,Child,None,NA
3517,81,Dawson Shores,Eric,Evans,67,Head,Widowed,Male,Unemployed,None,Christian
3518,82,Dawson Shores,Mitchell,Parry,74,Head,Widowed,Male,"Retired Psychologist, educational",None,Christian
3519,83,Dawson Shores,Robert,Russell,69,Head,Widowed,Male,"Retired Engineer, biomedical",None,Christian
3520,84,Dawson Shores,Jayne,Jackson,35,Head,Married,Female,Pathologist,None,Methodist
3521,84,Dawson Shores,Frank,Jackson,42,Husband,Married,Male,Actor,None,None
3522,84,Dawson Shores,Stephanie,Jackson,15,Daughter,NA,Female,Student,None,NA
3523,85,Dawson Shores,Jade,Skinner,70,Head,Married,Female,Retired Health service manager,None,Christian
3524,85,Dawson Shores,Richard,Skinner,69,Husband,Married,Male,Retired Education administrator,None,Christian
3525,86,Dawson Shores,Lorraine,Russell,41,Head,Divorced,Female,Games developer,NA,Christian
3526,86,Dawson Shores,NA,Russell,7,Son,NA,Male,Student,None,NA
3527,86,Dawson Shores,Jodie,Russell,1,Daughter,NA,Female,Child,None,NA
3528,87,Dawson Shores,Victoria,Price,41,Head,Divorced,Female,Operational investment banker,None,Christian
3529,88,Dawson Shores,Leah,Begum,46,Head,Married,Female,Barista,None,Methodist
3530,88,Dawson Shores,Mitchell,Begum,43,Husband,Married,Male,"Engineer, structural",None,Methodist
3531,88,Dawson Shores,Judith,Begum,16,Daughter,NA,Female,Student,None,NA
3532,89,Dawson Shores,Darren,Conway,63,Head,Single,Male,"Biochemist, clinical",None,None
3533,90,Dawson Shores,Sylvia,Harris,64,Head,Single,NA,Neurosurgeon,None,Christian
3534,90,Dawson Shores,Nathan,Gray,65,Partner,Single,Male,Armed forces training and education officer,None,Christian
3535,91,Dawson Shores,Mary,Brown,50,Head,Married,Female,Production manager,None,Christian
3536,91,Dawson Shores,Arthur,Brown,53,Husband,Married,Male,Civil Service fast streamer,None,Christian
3537,91,NA,Catherine,Brown,10,Daughter,NA,Female,Student,None,NA
3538,92,Dawson Shores,Joseph,Owens,27,Head,Single,Male,Recycling officer,None,Christian
3539,93,Dawson Shores,Elliot,Spencer,38,Head,Married,Male,Health and safety inspector,None,None
3540,93,Dawson Shores,Hayley,Spencer,36,Wife,Married,Female,Primary school teacher,None,None
3541,94,Dawson Shores,Abdul,Allen,58,Head,Single,Male,"Engineer, water",None,Christian
3542,95,Dawson Shores,Andrea,Lawrence,19,Head,Married,Female,University Student,None,Christian
3543,95,Dawson Shores,Patrick,Lawrence,19,Husband,Married,Male,University Student,None,Christian
3544,96,Dawson Shores,Wayne,Cooper,27,Head,Single,Male,Cytogeneticist,None,None
3545,97,Dawson Shores,Michelle,Saunders,25,Head,Single,Female,"Scientist, forensic",None,Methodist
3546,98,Dawson Shores,Paul,Fletcher,20,Head,Single,Male,University Student,None,None
3547,98,Dawson Shores,Kate,James,19,Partner,Single,Female,Air cabin crew,None,None
3548,98,Dawson Shores,Gail,Fletcher,1,Daughter,NA,Female,Child,None,NA
3549,99,Dawson Shores,Natalie,Hunter,45,Head,Single,Female,Geophysicist/field seismologist,None,None
3550,100,Dawson Shores,Joyce,Hayes,53,Head,Single,Female,"Designer, fashion/clothing",None,None
3551,101,Dawson Shores,Georgina,Barrett,21,Head,Single,Female,University Student,None,None
3552,102,Dawson Shores,Yvonne,Kerr,79,Head,Divorced,Female,Retired Health physicist,None,Christian
3553,103,Dawson Shores,Francis,Smith,58,Head,Single,Male,Data processing manager,None,None
3554,104,Dawson Shores,Lewis,Wright,32,Head,Single,Male,Politician's assistant,None,None
3555,105,Dawson Shores,Denis,Higgins,69,Head,Married,Male,Retired Jewellery designer,None,Catholic
3556,105,Dawson Shores,Abigail,Higgins,67,Wife,Married,Female,Insurance broker,None,Catholic
3557,106,Dawson Shores,Joanne,Edwards,22,Head,Single,Female,University Student,None,None
3558,107,Dawson Shores,Frederick,Williams,44,Head,Single,Male,Company secretary,None,Christian
3559,108,Dawson Shores,Sean,Jones,38,Head,Divorced,Male,Operational investment banker,None,Methodist
3560,109,Dawson Shores,Justin,Hammond,85,Head,Single,Male,Retired Architect,None,Christian
3561,110,Dawson Shores,Sylvia,Brooks,48,Head,Divorced,Female,Financial risk analyst,None,Christian
3562,110,Dawson Shores,Gillian,Brooks,17,Daughter,NA,Female,Student,None,NA
3563,110,Dawson Shores,Louis,Brooks,13,Son,NA,Male,Student,None,NA
3564,111,Dawson Shores,Carolyn,Arnold,72,Head,Single,Female,Retired Market researcher,None,Christian
3565,112,Dawson Shores,Laura,Wilson,57,Head,Married,Female,Equality and diversity officer,None,Christian
3566,112,Dawson Shores,Trevor,Wilson,60,Husband,Married,Male,Pension scheme manager,None,Christian
3567,113,Dawson Shores,Samantha,Vaughan,42,Head,Single,Female,"Accountant, chartered management",None,Methodist
3568,114,Dawson Shores,Simon,Harris,31,Head,Single,Male,"Scientist, research (physical sciences)",None,Christian
3569,114,Dawson Shores,Cheryl,Foster,25,Partner,Single,Female,Printmaker,None,Christian
3570,115,NA,Sally,Thornton,69,Head,Divorced,Female,Unemployed,None,Christian
3571,115,Dawson Shores,Grace,Thornton,39,Daughter,Single,Female,Maintenance engineer,None,Christian
3572,116,Dawson Shores,Hazel,Davies,35,Head,Divorced,Female,"Biochemist, clinical",None,Catholic
3573,116,Dawson Shores,Rachel,White,25,Lodger,Divorced,Female,Legal executive,None,None
3574,117,Dawson Shores,Sian,Jones,74,Head,Widowed,Female,Retired Maintenance engineer,None,None
3575,118,Dawson Shores,Wendy,Flynn,45,Head,Single,Female,"Surveyor, commercial/residential",None,Methodist
3576,118,Dawson Shores,Jade,Webb,54,None,Single,Female,"Conservation officer, historic buildings",None,Christian
3577,119,Dawson Shores,Denise,Griffiths,34,Head,Single,Female,Commercial/residential surveyor,None,Christian
3578,120,Dawson Shores,Iain,Begum,32,Head,Single,Male,Medical technical officer,None,Christian
3579,121,Dawson Shores,Katie,Clarke,41,Head,Married,Female,Graphic designer,None,None
3580,121,Dawson Shores,Ricky,Clarke,40,Husband,Married,Male,"Producer, radio",None,None
3581,121,Dawson Shores,Adam,Clarke,16,Son,NA,Male,Student,None,NA
3582,122,Dawson Shores,Kieran,Kirby,36,Head,Single,Male,Hotel manager,None,Methodist
3583,123,Dawson Shores,Pauline,Walker,65,Head,Widowed,Female,"Horticulturist, commercial",None,Methodist
3584,124,Dawson Shores,Emily,Green,79,Head,Widowed,Female,"Retired Designer, jewellery",None,Christian
3585,125,Dawson Shores,Julia,Ball,70,Head,Divorced,Female,Retired Actuary,None,Christian
3586,126,Dawson Shores,Lauren,Porter,55,Head,Single,Female,"Surveyor, quantity",None,Christian
3587,127,Dawson Shores,Dorothy,Kirk,70,Head,Divorced,Female,Retired Archivist,None,Christian
3588,128,Dawson Shores,Jill,Rees,20,Head,Married,Female,"Engineer, broadcasting (operations)",None,Muslim
3589,128,Dawson Shores,Gavin,Edwards,24,Husband,Married,Male,Aid worker,None,None
3590,128,Dawson Shores,Mohammed,Rees,3,Son,NA,Male,Child,None,NA
3591,129,Dawson Shores,Gail,Nicholson-Ingram,38,Head,Married,Female,Clinical cytogeneticist,None,None
3592,129,Dawson Shores,Leonard,Nicholson-Ingram,33,Husband,Married,Male,Politician's assistant,None,None
3593,129,Dawson Shores,Terry,Nicholson-Ingram,7,Son,NA,Male,Student,None,NA
3594,129,Dawson Shores,Paul,Nicholson-Ingram,5,Son,NA,Male,Student,None,NA
3595,130,Dawson Shores,Sarah,Bailey,59,Head,Divorced,Female,"Administrator, charities/voluntary organisations",None,Christian
3596,130,Dawson Shores,Maria,Bailey,1,Daughter,NA,Female,Child,None,NA
3597,131,Dawson Shores,Charlotte,Woods,41,Head,Married,Female,Physiological scientist,None,Methodist
3598,131,Dawson Shores,Henry,Woods,43,Husband,Married,Male,Unemployed,None,None
3599,131,Dawson Shores,Marion,Woods,5,Daughter,NA,Female,Student,None,NA
3600,131,Dawson Shores,Brandon,Woods,2,Son,NA,Male,Child,None,NA
3601,132,Dawson Shores,Dennis,Armstrong,46,Head,Single,Male,Police officer,None,None
3602,133,Dawson Shores,Kevin,Wells,41,Head,Single,Male,Primary school teacher,None,Catholic
3603,134,Dawson Shores,Justin,Martin,68,Head,Married,Male,Retired Media buyer,None,None
3604,134,Dawson Shores,Clare,Martin,66,Wife,Married,Female,Theme park manager,None,None
3605,135,Dawson Shores,George,Graham,76,Head,Married,Male,Retired Air traffic controller,None,Christian
3606,135,Dawson Shores,June,Graham,76,Wife,Married,Female,"Retired Engineer, mining",None,Christian
3607,136,Dawson Shores,Wendy,Walton,31,Head,Divorced,Female,Social worker,None,None
3608,136,Dawson Shores,Beth,Walton,14,Daughter,NA,Female,Student,None,NA
3609,136,Dawson Shores,Gary,Walton,8,Son,NA,Male,Student,None,NA
3610,137,Dawson Shores,Cheryl,Brooks,40,Head,Married,Female,IT sales professional,None,Methodist
3611,137,Dawson Shores,Alan,Brooks,41,Husband,Married,M,Exhibition designer,None,NA
3612,138,Dawson Shores,Abdul,Brennan,54,Head,Single,Male,"Engineer, materials",None,Christian
3613,139,Dawson Shores,Nicola,Bibi,41,Head,Divorced,Female,Unemployed,None,Catholic
3614,140,Dawson Shores,Linda,Wright,48,Head,Single,Female,Chartered accountant,Physical Disability,None
3615,140,Dawson Shores,Janice,Wright,20,Daughter,Single,Female,University Student,None,None
3616,140,Dawson Shores,Lawrence,Wright,17,Son,NA,Male,Student,None,NA
3617,140,Dawson Shores,Eileen,Wright,14,Daughter,NA,Female,Student,None,NA
3618,141,Dawson Shores,Gordon,Jenkins,41,Head,Married,Male,"Engineer, water",None,Christian
3619,141,Dawson Shores,Joanne,Jenkins,43,Wife,Married,Female,Insurance claims handler,None,Christian
3620,142,Dawson Shores,Naomi,Smith,39,Head,Divorced,Female,Phytotherapist,None,Christian
3621,143,Dawson Shores,Jane,Marshall,30,Head,Widowed,Female,Wellsite geologist,None,Catholic
3622,143,Dawson Shores,Sharon,Marshall,1,Step-Daughter,NA,Female,Child,None,NA
3623,144,Dawson Shores,Sheila,Vaughan,33,Head,Married,Female,"Engineer, manufacturing",None,None
3624,144,Dawson Shores,Ryan,Vaughan,34,Husband,Married,Male,Chemical engineer,None,None
3625,145,Dawson Shores,Ashley,Green,23,Head,Married,Male,Outdoor activities/education manager,None,Catholic
3626,145,Dawson Shores,Caroline,Green,25,Wife,Married,Female,Public affairs consultant,None,NA
3627,146,Dawson Shores,Jessica,Benson,34,Head,Single,Female,"Exhibitions officer, museum/gallery",None,None
3628,146,Dawson Shores,Aimee,Benson,5,Step-Daughter,NA,Female,Student,None,NA
3629,147,Dawson Shores,Shaun,Wood,58,Head,Married,Male,Unemployed,None,Christian
3630,147,Dawson Shores,Victoria,Wood,55,Wife,Married,Female,Pathologist,None,None
3631,148,Dawson Shores,Mathew,Page,44,Head,Married,Male,Marketing executive,None,Christian
3632,148,Dawson Shores,Abigail,Page,40,Wife,Married,Female,Television production assistant,None,Christian
3633,148,Dawson Shores,Elliot,Page,12,Son,NA,Male,Student,None,NA
3634,149,Dawson Shores,Lynn,Francis,36,Head,Married,Female,Intelligence analyst,None,Catholic
3635,149,Dawson Shores,Jonathan,Francis,39,Husband,Married,Male,Corporate investment banker,None,Catholic
3636,149,Dawson Shores,Gordon,Francis,5,Son,NA,Male,Student,None,NA
3637,149,Dawson Shores,Raymond,Francis,1,Son,NA,Male,Child,None,NA
3638,150,Dawson Shores,Patrick,Harris,88,Head,Widowed,Male,Retired Telecommunications researcher,None,Methodist
3639,151,Dawson Shores,Emma,Wilkinson,49,Head,Married,Female,Ceramics designer,None,Catholic
3640,151,Dawson Shores,David,Wilkinson,54,Husband,Married,NA,Equities trader,None,Catholic
3641,151,Dawson Shores,Lynn,Wilkinson,14,Daughter,NA,Female,Student,None,NA
3642,152,Dawson Shores,Eric,Day,51,Head,Single,Male,Company secretary,None,None
3643,153,Dawson Shores,Rita,Watkins,79,Head,Widowed,Female,"Retired Designer, multimedia",None,Catholic
3644,154,Dawson Shores,Matthew,Anderson,85,Head,Married,Male,Retired Further education lecturer,None,None
3645,154,Dawson Shores,Rosemary,Anderson,87,Wife,Married,Female,Retired Immigration officer,None,None
3646,155,Dawson Shores,Vanessa,Sanderson,76,Head,Widowed,Female,Retired Ergonomist,None,Christian
3647,156,Dawson Shores,Zoe,Wood,47,Head,Single,Female,"Surveyor, planning and development",None,Christian
3648,157,Dawson Shores,Tina,Howell,18,Head,Single,Female,University Student,None,Christian
3649,157,Dawson Shores,Lindsey,Adams,21,None,Single,Female,University Student,None,None
3650,158,Dawson Shores,Joanna,Walsh,32,Head,Single,Female,Unemployed,None,None
3651,158,Dawson Shores,Jordan,Walsh,12,Son,NA,Male,Student,None,NA
3652,159,Dawson Shores,Rosemary,Byrne,70,Head,Widowed,Female,Retired Gaffer,None,Christian
3653,160,Dawson Shores,Emily,Wright,46,Head,Single,Female,Phytotherapist,None,Christian
3654,160,Dawson Shores,Jacqueline,Todd,59,None,Single,Female,Unemployed,None,Muslim
3655,161,Dawson Shores,Karen,Mellor,51,Head,Single,Female,Systems developer,None,Christian
3656,162,Dawson Shores,Kevin,O'Neill,18,Head,Married,Male,Student,None,NA
3657,162,Dawson Shores,Amy,O'Neill,19,Wife,Married,Female,University Student,None,NA
3658,163,Dawson Shores,Georgia,Evans,46,Head,Widowed,Female,"Engineer, materials",None,Methodist
3659,163,Dawson Shores,Frank,Evans,7,Son,NA,Male,Student,None,NA
3660,163,Dawson Shores,June,Evans,4,Daughter,NA,Female,Child,None,NA
3661,164,Dawson Shores,Rachel,Burgess,45,Head,Married,Female,"Teacher, primary school",None,None
3662,164,Dawson Shores,Rhys,Burgess,46,Husband,Married,m,Public relations account executive,None,None
3663,165,Dawson Shores,Sharon,Stokes,55,Head,Divorced,Female,Air traffic controller,None,Christian
3664,166,Dawson Shores,Robert,Ryan,61,Head,Single,Male,Mudlogger,None,None
3665,167,Dawson Shores,Jasmine,Webb,85,Head,Widowed,Female,Retired Medical secretary,None,Christian
3666,168,Dawson Shores,Dawn,Riley,20,Head,Single,Female,University Student,None,Muslim
3667,169,Dawson Shores,Emily,Parker,70,Head,Divorced,Female,Retired Neurosurgeon,None,Christian
3668,169,Dawson Shores,Damian,Parker,5,Grandson,NA,Male,Student,None,NA
3669,170,Dawson Shores,Heather,Roberts,54,Head,Divorced,Female,"Surveyor, land/geomatics",None,None
3670,171,Dawson Shores,Kirsty,Walker,71,Head,Widowed,Female,Retired Animator,None,Christian
3671,172,Dawson Shores,Tina,Coleman,24,Head,Married,Female,"Engineer, maintenance (IT)",None,Christian
3672,172,Dawson Shores,Henry,Coleman,25,Husband,Married,Male,Plant breeder/geneticist,None,Christian
3673,172,Dawson Shores,Harry,Coleman,0,Son,NA,Male,Child,None,NA
3674,173,Dawson Shores,Andrea,Webb,33,Head,Single,Female,Dealer,None,None
3675,174,Dawson Shores,Caroline,Hamilton,70,Head,Widowed,Female,Retired Video editor,None,Christian
